group,dataset,method,co_bps,run_dir,config,run_name,error
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,psth,-0.003873720998,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/psth_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/psth_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,psth_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,smoothing,0.1543883979,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/smoothing_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/smoothing_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,smoothing_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,gpfa,0.3168914914,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/gpfa_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/gpfa_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,gpfa_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,cassm,0.1592297405,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/cassm_ensembles/cassm_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_ensemble_top4,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/cassm_ensembles/cassm_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_ensemble_top4/config.json,cassm_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_ensemble_top4,selected_from_cassm_ensemble_top4
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,kalman,0.1569515318,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/classical_fallback_sweep/kalman_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_alpha1000,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/classical_fallback_sweep/configs/kalman_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_alpha1000.yaml,kalman_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_alpha1000,selected_from_fallback_variant=alpha1000
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,lfads,0.4080575109,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/lfads_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/lfads_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,lfads_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,ndt,0.2954845428,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/ndt_fallback_sweep/ndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_linear_timestep,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/ndt_fallback_sweep/configs/ndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_linear_timestep.yaml,ndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_linear_timestep,selected_from_fallback_variant=linear_timestep
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,stndt,0.3005096614,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/stndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/stndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,stndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,langevin_flow,0.3153852522,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/langevin_flow_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/langevin_flow_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,langevin_flow_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,mint,0.2095506042,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/mint_lfadslib_sweep/mint_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_lfadslib_condition_interp1_cand2_win6_sigma2,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/mint_lfadslib_sweep/configs/mint_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_lfadslib_condition_interp1_cand2_win6_sigma2.yaml,mint_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_lfadslib_condition_interp1_cand2_win6_sigma2,selected_from_optional_fallback_variant=lfadslib_condition_interp1_cand2_win6_sigma2
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,bgpfa,0.236615926,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/bgpfa_faobs1_sweep/bgpfa_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_faobs1_gaussian_latent24_lr02_e250_refkl_fainit_poisdec,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/bgpfa_faobs1_sweep/configs/bgpfa_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_faobs1_gaussian_latent24_lr02_e250_refkl_fainit_poisdec.yaml,bgpfa_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_faobs1_gaussian_latent24_lr02_e250_refkl_fainit_poisdec,selected_from_optional_fallback_variant=faobs1_gaussian_latent24_lr02_e250_refkl_fainit_poisdec
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,ilqr_vae,0.2943520546,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/optional_fallback_sweep/ilqr_vae_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_e75_maxiter5_lr001_seed1,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/optional_fallback_sweep/configs/ilqr_vae_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_e75_maxiter5_lr001_seed1.yaml,ilqr_vae_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_e75_maxiter5_lr001_seed1,selected_from_optional_fallback_variant=e75_maxiter5_lr001_seed1
flash_bo_top,allen_vcn_flash_bo_top,psth,0.01324743498,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/psth_allen_vcn_flash_bo_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/psth_allen_vcn_flash_bo_top_20ms_nlb_style.yaml,psth_allen_vcn_flash_bo_top_20ms_nlb_style,
flash_bo_top,allen_vcn_flash_bo_top,smoothing,0.1345472038,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/smoothing_allen_vcn_flash_bo_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/smoothing_allen_vcn_flash_bo_top_20ms_nlb_style.yaml,smoothing_allen_vcn_flash_bo_top_20ms_nlb_style,
flash_bo_top,allen_vcn_flash_bo_top,gpfa,0.2413025945,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/gpfa_allen_vcn_flash_bo_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/gpfa_allen_vcn_flash_bo_top_20ms_nlb_style.yaml,gpfa_allen_vcn_flash_bo_top_20ms_nlb_style,
flash_bo_top,allen_vcn_flash_bo_top,cassm,0.143925935,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/classical_fallback_sweep/cassm_allen_vcn_flash_bo_top_20ms_nlb_style_fallback_pred_proj512_alpha500,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/classical_fallback_sweep/configs/cassm_allen_vcn_flash_bo_top_20ms_nlb_style_fallback_pred_proj512_alpha500.yaml,cassm_allen_vcn_flash_bo_top_20ms_nlb_style_fallback_pred_proj512_alpha500,selected_from_fallback_variant=pred_proj512_alpha500
flash_bo_top,allen_vcn_flash_bo_top,kalman,0.1371652335,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/classical_fallback_sweep/kalman_allen_vcn_flash_bo_top_20ms_nlb_style_fallback_alpha1000,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/classical_fallback_sweep/configs/kalman_allen_vcn_flash_bo_top_20ms_nlb_style_fallback_alpha1000.yaml,kalman_allen_vcn_flash_bo_top_20ms_nlb_style_fallback_alpha1000,selected_from_fallback_variant=alpha1000
flash_bo_top,allen_vcn_flash_bo_top,lfads,0.3097577691,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/lfads_allen_vcn_flash_bo_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/lfads_allen_vcn_flash_bo_top_20ms_nlb_style.yaml,lfads_allen_vcn_flash_bo_top_20ms_nlb_style,
flash_bo_top,allen_vcn_flash_bo_top,ndt,0.2155240774,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/ndt_allen_vcn_flash_bo_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/ndt_allen_vcn_flash_bo_top_20ms_nlb_style.yaml,ndt_allen_vcn_flash_bo_top_20ms_nlb_style,
