group,dataset,method,run_name,status,seconds,co_bps,poisson_nll,baseline_target,baseline_margin,beats_baseline,run_dir,config,log,error
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,psth,psth_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,ok,1.281,-0.003873720998,0.4010377526,0.1543883979,-0.1582621189,false,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/psth_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/psth_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/psth_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.log,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,smoothing,smoothing_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,ok,2.359,0.1543883979,0.3811498284,0.1543883979,0,false,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/smoothing_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/smoothing_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/smoothing_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.log,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,gpfa,gpfa_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,ok,3.261,0.3168914914,0.3607289493,0.1543883979,0.1625030935,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/gpfa_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/gpfa_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/gpfa_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.log,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,cassm,cassm_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_ensemble_top4,ok,0.000,0.1592297405,0.3804814712,0.1543883979,0.0048413426,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/cassm_ensembles/cassm_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_ensemble_top4,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/cassm_ensembles/cassm_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_ensemble_top4/config.json,,selected_from_cassm_ensemble_top4
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,kalman,kalman_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_alpha1000,ok,170.990,0.1569515318,0.3801780939,0.1543883979,0.0025631339,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/classical_fallback_sweep/kalman_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_alpha1000,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/classical_fallback_sweep/configs/kalman_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_alpha1000.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/classical_fallback_sweep/_logs/kalman_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_alpha1000.log,selected_from_fallback_variant=alpha1000
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,lfads,lfads_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,ok,45.668,0.4080575109,0.3492726386,0.1543883979,0.253669113,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/lfads_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/lfads_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/lfads_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.log,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,ndt,ndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_linear_timestep,ok,127.280,0.2954845428,0.3634190559,0.1543883979,0.1410961449,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/ndt_fallback_sweep/ndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_linear_timestep,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/ndt_fallback_sweep/configs/ndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_linear_timestep.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/ndt_fallback_sweep/_logs/ndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_fallback_linear_timestep.log,selected_from_fallback_variant=linear_timestep
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,stndt,stndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,ok,448.582,0.3005096614,0.3627875745,0.1543883979,0.1461212635,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/stndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/stndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/stndt_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.log,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,langevin_flow,langevin_flow_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,ok,105.431,0.3153852522,0.3609182537,0.1543883979,0.1609968543,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/langevin_flow_allen_vcn_bo_drifting_one_tf_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/langevin_flow_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/langevin_flow_allen_vcn_bo_drifting_one_tf_20ms_nlb_style.log,
bo_drifting_one_tf,allen_vcn_bo_drifting_one_tf,mint,mint_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_lfadslib_condition_interp1_cand2_win6_sigma2,ok,4.264,0.2095506042,0.3742178937,0.1543883979,0.0551622063,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/mint_lfadslib_sweep/mint_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_lfadslib_condition_interp1_cand2_win6_sigma2,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/mint_lfadslib_sweep/configs/mint_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_lfadslib_condition_interp1_cand2_win6_sigma2.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/mint_lfadslib_sweep/_logs/mint_allen_vcn_bo_drifting_one_tf_20ms_nlb_style_optional_fallback_lfadslib_condition_interp1_cand2_win6_sigma2.log,selected_from_optional_fallback_variant=lfadslib_condition_interp1_cand2_win6_sigma2
